TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,P_emaildomain,isFraud,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,dist10,dist11,dist12,dist13,dist14,dist15,M1,M2,M3,M4,M5,M6,M7,M8,M9
45.09081599280827,W,10368,311,150,discover,219,credit,103,87,,0,0,3,0,3,4,0,4,0,1,1,0,1,2,0,47,331,,,,,,,,,,,,,,,T,T,F,F,,,T,F
26.030673008552434,R,11413,416,,discover,112,debit,249,96,,0,0,2,1,1,1,2,1,2,2,1,0,1,2,3,210,211,,,,,,,,,,,,,,F,F,,,F,F,F,,
140.6524471558963,W,2541,126,185,discover,185,debit,438,60,yahoo.com,0,1,0,1,4,1,1,0,0,2,0,2,0,0,2,499,254,,,,,,,,,,,,,,,,,,F,,,,F
3.5053995479882194,R,15776,586,150,discover,223,debit,485,87,,0,0,0,0,2,1,0,1,1,2,1,0,1,3,2,156,444,,,,,,,,,,,,,,T,,T,,,F,,,
7.302713169370631,R,4965,350,185,visa,131,debit,295,87,yahoo.com,0,2,1,1,1,1,1,1,0,1,1,2,1,1,1,260,321,,,,,,,,,,,,,,,T,T,F,F,F,F,,F
73.61179925786756,W,2569,262,,discover,116,debit,376,60,,0,1,2,3,0,0,0,3,0,0,0,2,1,3,0,447,314,,,,,,,,,,,,,,F,,T,T,,T,T,F,T
229.46623514944866,C,14051,401,,amex,196,credit,456,60,gmail.com,0,0,1,1,0,0,1,1,1,1,2,0,1,1,1,365,407,,,,,,,,,,,,,,T,,,T,T,,,,T
96.94648825262358,H,17031,187,185,visa,247,credit,278,60,,0,2,1,1,1,0,3,0,3,2,0,2,0,0,0,497,102,,,,,,,,,,,,,,T,F,T,T,,T,,T,F
111.86835141313442,C,10511,499,150,amex,221,credit,499,87,gmail.com,0,2,2,2,1,2,2,0,0,1,1,1,0,1,0,197,140,,,,,,,,,,,,,,,T,T,,F,,T,T,F
13.921149828202267,C,12901,488,150,mastercard,213,credit,124,60,yahoo.com,0,2,0,3,1,1,1,1,2,1,0,0,1,0,1,97,156,,,,,,,,,,,,,,F,T,F,T,,F,,T,F
181.67586924237406,H,2999,554,185,amex,145,credit,448,87,gmail.com,0,1,2,1,2,0,3,1,1,0,0,1,0,2,0,185,19,,,,,,,,,,,,,,T,T,F,F,,,,F,F
45.760128522001494,H,8149,260,185,discover,152,credit,480,96,yahoo.com,0,1,2,2,0,2,0,1,1,1,1,1,0,1,0,296,159,,,,,,,,,,,,,,F,F,T,T,,T,,F,T
148.75754259729857,R,7815,355,185,visa,160,credit,432,87,,0,2,0,0,1,0,1,0,1,1,0,0,0,3,2,349,472,,,,,,,,,,,,,,,T,T,,T,F,T,,
27.138277279273854,W,15922,284,,mastercard,178,credit,334,87,hotmail.com,0,2,1,2,1,3,0,0,2,1,0,3,1,0,2,197,415,,,,,,,,,,,,,,F,,F,T,F,F,,F,T
229.69898195701072,C,2226,106,,discover,242,debit,164,96,hotmail.com,0,1,3,1,1,1,1,1,1,2,1,1,1,0,1,406,191,,,,,,,,,,,,,,,,,T,,T,,F,F
217.84923342654733,S,17805,501,150,mastercard,246,credit,135,87,hotmail.com,0,1,0,1,0,0,1,2,0,1,1,2,0,0,0,463,228,,,,,,,,,,,,,,,F,T,T,F,F,T,T,F
204.02716408024398,R,16167,165,150,mastercard,155,debit,431,87,yahoo.com,0,0,3,0,2,2,1,0,1,1,0,1,0,1,2,97,276,,,,,,,,,,,,,,T,F,F,T,F,,,T,F
135.18363987568318,R,16222,542,,amex,151,debit,452,60,,0,0,2,1,2,1,0,0,1,0,1,1,4,0,0,314,214,,,,,,,,,,,,,,,,F,,F,T,T,T,T
76.8101378781728,S,9568,163,185,amex,203,credit,116,60,gmail.com,0,1,1,4,1,1,2,1,2,1,3,1,3,1,1,407,25,,,,,,,,,,,,,,,F,,,T,,,T,F
39.23825979451649,C,1747,263,185,amex,111,credit,138,60,gmail.com,0,1,2,3,0,0,1,2,0,0,2,0,1,0,1,93,259,,,,,,,,,,,,,,,F,,,,F,F,T,T
200.8216310790463,S,2479,325,,visa,199,credit,426,96,hotmail.com,0,1,0,1,0,1,0,3,0,2,0,0,2,2,2,155,190,,,,,,,,,,,,,,T,F,,,F,F,T,,F
286.88633924048236,W,9761,114,185,mastercard,143,debit,419,87,,0,0,1,1,0,1,0,2,2,1,1,0,2,0,1,188,83,,,,,,,,,,,,,,F,F,,F,T,F,F,F,T
7.243622778156472,C,15718,565,,amex,210,credit,248,96,,0,3,2,0,0,2,0,2,1,0,2,0,2,0,1,77,262,,,,,,,,,,,,,,T,T,F,F,T,T,T,T,F
393.37361693211625,S,17513,128,,visa,201,debit,179,96,gmail.com,0,1,1,1,2,0,1,1,2,1,1,1,1,0,3,84,18,,,,,,,,,,,,,,T,F,F,F,,,T,T,
43.19712281127852,R,16416,205,185,mastercard,111,debit,237,96,gmail.com,0,2,0,1,3,0,1,1,1,3,2,0,0,2,2,208,112,,,,,,,,,,,,,,F,F,F,T,,T,T,F,T
172.21930158166336,S,1212,286,185,visa,195,debit,353,87,hotmail.com,0,1,2,0,0,1,2,1,0,0,0,1,1,3,2,306,82,,,,,,,,,,,,,,,T,T,F,,F,,F,T
435.3786310104087,S,15028,591,150,amex,177,debit,279,60,hotmail.com,0,2,2,1,0,2,1,2,1,0,2,0,1,1,1,356,185,,,,,,,,,,,,,,F,,T,,F,,,,F
37.83685701808139,C,4101,436,185,discover,181,debit,303,87,yahoo.com,0,0,0,0,1,0,1,0,1,2,0,1,2,0,1,183,253,,,,,,,,,,,,,,,T,F,T,T,F,F,,
248.03551462517953,H,8084,237,150,visa,169,debit,330,96,hotmail.com,0,1,2,4,0,1,2,0,4,1,1,2,1,0,0,230,45,,,,,,,,,,,,,,,,T,F,,,,F,T
359.15973860990374,S,10603,262,185,amex,218,debit,270,87,gmail.com,0,2,4,0,2,0,2,1,0,2,3,2,1,1,0,73,90,,,,,,,,,,,,,,F,,F,T,T,,F,,
86.77582503505958,W,16350,139,185,discover,119,debit,405,87,yahoo.com,1,2,1,1,2,0,0,2,2,0,1,1,1,1,1,416,269,,,,,,,,,,,,,,F,,,T,F,,,F,F
36.79368321625797,C,13066,207,185,discover,158,debit,309,60,gmail.com,0,0,1,0,2,0,2,1,2,1,2,1,1,1,1,393,25,,,,,,,,,,,,,,T,T,T,,,T,F,F,
82.43985145438205,R,7173,307,185,amex,219,credit,333,87,,0,0,1,0,1,1,1,2,1,2,0,1,1,1,1,224,105,,,,,,,,,,,,,,F,,,,T,F,,T,F
88.43219735269822,S,5092,144,,mastercard,243,debit,156,96,,0,0,1,1,1,1,1,1,2,1,2,1,1,2,1,168,398,,,,,,,,,,,,,,,F,,F,T,,F,,T
43.14582119866452,R,2285,434,150,amex,188,credit,221,96,yahoo.com,0,1,0,1,0,2,2,1,1,2,2,0,0,1,3,36,248,,,,,,,,,,,,,,T,F,F,F,,F,F,F,T
13.942841970790395,R,11445,261,185,mastercard,203,credit,343,60,yahoo.com,0,1,0,0,0,1,2,4,0,2,2,2,1,0,0,418,433,,,,,,,,,,,,,,T,T,,,F,,F,T,
229.87023315009455,W,6914,350,185,discover,185,credit,381,87,,0,0,2,2,0,2,2,0,0,1,1,0,0,0,1,61,206,,,,,,,,,,,,,,,F,F,F,F,T,,T,
107.55061848931575,R,16520,348,150,visa,169,debit,467,96,yahoo.com,0,1,2,0,0,1,3,1,0,0,1,1,2,2,0,308,71,,,,,,,,,,,,,,,F,T,T,T,F,T,T,T
24.08637771960553,H,11281,249,150,visa,172,credit,348,87,hotmail.com,1,0,0,1,0,3,1,2,1,1,2,0,1,3,0,336,61,,,,,,,,,,,,,,T,,F,T,F,F,,,
212.27408023234688,S,17652,194,185,discover,230,debit,196,60,gmail.com,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,361,343,,,,,,,,,,,,,,,T,,T,,F,,F,
20.47825405264359,S,9120,185,,visa,134,credit,175,87,hotmail.com,0,1,2,1,0,0,0,1,0,2,0,1,2,1,1,343,391,,,,,,,,,,,,,,F,F,,,,,F,,
137.45627031960396,H,13048,452,185,visa,227,credit,386,60,,0,1,2,0,0,0,1,2,1,1,4,0,0,1,2,474,165,,,,,,,,,,,,,,F,F,,,,,F,T,F
122.84229537085831,R,11122,100,,amex,129,credit,306,96,,0,1,0,0,4,1,1,2,0,2,1,1,1,0,0,241,101,,,,,,,,,,,,,,F,F,T,T,T,,,,
